,Date,ExitDate,Stock,Return,Profit
385,2020-06-24,2020-07-01,3712_永崴投控,0.25342696651849583,1013707.8660739834
386,2020-06-24,2020-07-01,6223_旺矽,0.1582510931285419,633004.3725141677
387,2020-06-24,2020-07-01,6683_雍智科技,0.14000388886299908,560015.5554519963
388,2020-06-24,2020-07-01,2332_友訊,0.13661955310538998,546478.21242156
389,2020-06-24,2020-07-01,4979_華星光,0.13164282394257087,526571.2957702836
390,2020-07-01,2020-07-08,2464_盟立,0.45299724812596254,1811988.9925038503
391,2020-07-01,2020-07-08,6231_系微,0.41787905971822026,1671516.238872881
392,2020-07-01,2020-07-08,4979_華星光,0.3185451350109916,1274180.5400439664
393,2020-07-01,2020-07-08,3227_原相,0.2950017473955626,1180006.9895822504
394,2020-07-01,2020-07-08,4968_立積,0.2840295698859836,1136118.2795439344
395,2020-07-08,2020-07-15,6443_元晶,0.2970492909984781,1188197.1639939123
396,2020-07-08,2020-07-15,4130_健亞,0.17166721032398047,686668.8412959218
397,2020-07-08,2020-07-15,9921_巨大,0.17017782443214347,680711.2977285739
398,2020-07-08,2020-07-15,6187_萬潤,0.15254031294546122,610161.2517818449
399,2020-07-08,2020-07-15,9914_美利達,0.14441498492298965,577659.9396919586
400,2020-07-15,2020-07-22,8091_翔名,0.2275174476570292,910069.7906281168
401,2020-07-15,2020-07-22,8046_南電,0.1904837212500432,761934.8850001728
402,2020-07-15,2020-07-22,6456_GIS-KY,0.17351604454782033,694064.1781912813
403,2020-07-15,2020-07-22,6116_彩晶,0.1729529360636044,691811.7442544176
404,2020-07-15,2020-07-22,1519_華城,0.17218318704991264,688732.7481996506
405,2020-07-22,2020-07-29,2303_聯電,0.27115700589374936,1084628.0235749974
406,2020-07-22,2020-07-29,5474_聰泰,0.22592785868086018,903711.4347234407
407,2020-07-22,2020-07-29,6187_萬潤,0.14645274362497318,585810.9744998927
408,2020-07-22,2020-07-29,6223_旺矽,0.11302936895778637,452117.4758311455
409,2020-07-22,2020-07-29,6196_帆宣,0.10383212621889748,415328.5048755899
410,2020-07-29,2020-08-05,3552_同致,0.37907021103676564,1516280.8441470626
411,2020-07-29,2020-08-05,6443_元晶,0.2736572890025577,1094629.1560102308
412,2020-07-29,2020-08-05,3673_TPK-KY,0.2453341897384771,981336.7589539083
413,2020-07-29,2020-08-05,3037_欣興,0.2404308074641004,961723.2298564016
414,2020-07-29,2020-08-05,5457_宣德,0.23686563227271784,947462.5290908713
415,2020-08-05,2020-08-12,6244_茂迪,0.43166471807598805,1726658.8723039522
416,2020-08-05,2020-08-12,6125_廣運,0.23443509031997722,937740.3612799089
417,2020-08-05,2020-08-12,3037_欣興,0.199204748317519,796818.993270076
418,2020-08-05,2020-08-12,9938_百和,0.16331330083822615,653253.2033529046
419,2020-08-05,2020-08-12,2368_金像電,0.12074298340499756,482971.93361999025
420,2020-08-12,2020-08-19,3218_大學光,0.4044069484349264,1617627.7937397056
421,2020-08-12,2020-08-19,2603_長榮,0.2536413747263957,1014565.4989055828
422,2020-08-12,2020-08-19,3645_達邁,0.2518804703414579,1007521.8813658316
423,2020-08-12,2020-08-19,5457_宣德,0.24001718161942986,960068.7264777195
424,2020-08-12,2020-08-19,3017_奇鋐,0.23424059804392483,936962.3921756994
425,2020-08-19,2020-08-26,5474_聰泰,0.19856995262312616,794279.8104925046
426,2020-08-19,2020-08-26,6188_廣明,0.19834481517852476,793379.260714099
427,2020-08-19,2020-08-26,3055_蔚華科,0.19599691491563065,783987.6596625226
428,2020-08-19,2020-08-26,6244_茂迪,0.19455809785832412,778232.3914332965
429,2020-08-19,2020-08-26,2231_為升,0.16746572815319594,669862.9126127837
430,2020-08-26,2020-09-02,3078_僑威,0.3050614579618811,1220245.8318475245
